index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
50	graph-id-property-wrapped-contains-target-06-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	373917	2375958	0.15737525663332433	1	734	2c8962bfda6df26238f145f32f089e1ccdb69cc26ea9c2fde590f543638ba060				
51	graph-id-property-wrapped-contains-target-06-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2317583	20628625	0.11234791460894752	200	83941	f7f169fb4cd9a2408b058d9e03502907fe0d9372ba70f2f3749aeaffa464e292				
52	graph-id-property-wrapped-contains-target-07-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23262875	14243000	1.6332847714666854	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
53	graph-id-property-wrapped-contains-target-07-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	466334	2261292	0.20622458311443193	1	762	d5674d7adcd2d58f93c5f2849f690003bc45d523850181c23ceaa0aacd7e6709				
54	graph-id-property-wrapped-contains-target-07-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1843250	20337625	0.09063250994154923	200	84999	35604ee2a3d19ee64c97fa99f4be154714c60028f948c7a23f75b925d4520a5d				
55	graph-id-property-wrapped-contains-target-08-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24026750	14461750	1.6613998997355093	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
56	graph-id-property-wrapped-contains-target-08-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	395291	2353292	0.16797363013174735	2	1322	4b49b28d836e57c2c3f8d43a93acd00a93b169fcd603338f9ab350f541e9665c				
57	graph-id-property-wrapped-contains-target-08-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2056583	21101166	0.09746300275539276	200	85531	ed34441ff634f19c276911a1fa193106a9070fde1065b57fc7ec71132b8d5f66				
58	graph-id-property-wrapped-contains-target-09-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24204333	14009958	1.7276520743317003	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
59	graph-id-property-wrapped-contains-target-09-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	383042	2234208	0.17144419857058968	1	758	cd83129b7654f9c1ac40c94032a03833f5b559e4d6d903ce58c899d274674334				
60	graph-id-property-wrapped-contains-target-09-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2022916	19850583	0.10190713290385477	200	84710	8302a9dc08d5cf465b56333dad5757a62c24d743692acbdbf8e81919ebd097a0				
61	graph-id-property-wrapped-contains-target-10-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22259458	13341958	1.6683801582946072	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
62	graph-id-property-wrapped-contains-target-10-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	480416	2339208	0.20537549461185153	1	821	f3f4d5fb39ff9fde7dcf6d88e4f52bcc4c277ed98626ccca0b17c4ddbb20b035				
63	graph-id-property-wrapped-contains-target-10-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1767625	18634083	0.09485977925503498	200	86914	eec30bd784e53b80ccd384559e9d1f853b8152ad8db90ad1f27d391bf03fc0d8				
64	graph-id-property-wrapped-contains-target-11-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	21101375	12445083	1.6955592019755914	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
65	graph-id-property-wrapped-contains-target-11-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	293416	2245166	0.13068788677540993	1	758	f8ea31527e372a7d8e0f896bc894b97d788067aa20d0af371a4239382f72a4d1				
66	graph-id-property-wrapped-contains-target-11-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1567083	18606875	0.08422064425111686	200	84862	36598e3ab73085dce50e849dda8b6a32b1088eab3f02f052e9536f16613b5d4b				
67	graph-id-property-wrapped-contains-target-12-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24361209	15156583	1.6073021867791706	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
