index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
83	graph-id-property-wrapped-contains-target-17-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	283583	1546167	0.18341033019072325	5	2976	7d286938fe2f40cd4cb86cd26be11c3221bfff86202fa9b705bdc1c77967743f				
84	graph-id-property-wrapped-contains-target-17-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1322291	15348209	0.08615278825040759	200	92381	87c915d88746be4a40b85e67e7de71966365a455358cc138185e5c1f5bcf1251				
85	graph-id-property-wrapped-contains-target-18-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13198583	8105041	1.6284412379900362	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
86	graph-id-property-wrapped-contains-target-18-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	294458	1515291	0.19432439049661088	12	6781	abf0682228739bdef1eb0d4b5b1449d7697f9412e644bd07a974f6e04213652e				
87	graph-id-property-wrapped-contains-target-18-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1271500	12361958	0.10285587444966242	200	95198	7d65fbc43e0cf8a1d4323c709e6963c32bdea3f389f5b683f619eee1fd79dc90				
88	graph-id-property-wrapped-contains-target-19-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12890708	7524417	1.7131836260536863	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
89	graph-id-property-wrapped-contains-target-19-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	291833	1581750	0.18450007902639481	11	6327	72232d5a8299b69c619beb4cebd0967a4ca8f1378844d7914f795f7c5126cc48				
90	graph-id-property-wrapped-contains-target-19-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1209000	11305958	0.10693476837610753	200	96673	6ab8193cda24a8f589b0e7412ffcc3549afc3180a092c899437bb3ef2f8324ef				
91	graph-id-property-wrapped-contains-target-20-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13966250	8731250	1.5995705082319256	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
92	graph-id-property-wrapped-contains-target-20-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	266500	1561959	0.17061907514857944	1	763	7811e1c0f64fb9174b112349d7a5f89fec8a71f59a6b66db3b1e97241f5dc93c				
93	graph-id-property-wrapped-contains-target-20-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1368958	13134125	0.10422909786529365	200	91604	a93cd6116bda146e01916f4ab7d54aa664da5b5c2287de109c82d6c48fcd38f8				
94	graph-id-property-wrapped-contains-target-21-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13392417	8085875	1.6562730687773433	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
95	graph-id-property-wrapped-contains-target-21-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	229333	1485625	0.154368026924695	1	765	1cf450577b12b3b6a7c19f53479709a92a169add0c4f9defecbc55254bf8d5b3				
96	graph-id-property-wrapped-contains-target-21-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1253625	12503208	0.10026426817821474	200	96334	eb6b03599a26f520b43896ee6af6cb6d2a3ec0783b66a0bcb29642b029a4b6eb				
97	graph-id-property-wrapped-contains-target-22-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13436917	7911584	1.6983851779871135	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
98	graph-id-property-wrapped-contains-target-22-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	324417	1498541	0.21648857121693701	11	6331	43d88524d9da26840d520d8260a6801a2d864c2023e9806c3df4a5e673a5fd66				
99	graph-id-property-wrapped-contains-target-22-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1290792	11618750	0.11109559978483055	200	98397	b1cc908cf8cd6a2354b320afca9ad225990c59be93a53ddc3912afb3b0d46d7b				
100	graph-id-property-wrapped-contains-target-23-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12597334	7868750	1.6009320413026211	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
