index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
302	graph-id-function-wrapped-contains-target-26-targeted	success	0.037959	0.300667	0.059333	0.302834	0.002167
303	graph-id-function-wrapped-contains-target-26-dense	success	0.1085	0.468041	0.118	0.448958	-0.019083
304	graph-id-function-wrapped-contains-target-27-zero	success	0.042125	0.309958	0.046792	0.309083	-0.000875
305	graph-id-function-wrapped-contains-target-27-targeted	success	0.041875	0.318	0.039917	0.313584	-0.004416
306	graph-id-function-wrapped-contains-target-27-dense	success	0.116959	0.466041	0.132958	0.452709	-0.013332
307	graph-id-function-wrapped-contains-target-28-zero	success	0.051041	0.327708	0.077417	0.331333	0.003625
308	graph-id-function-wrapped-contains-target-28-targeted	success	0.0475	0.317916	0.0595	0.3195	0.001584
309	graph-id-function-wrapped-contains-target-28-dense	success	0.139459	0.482667	0.099	0.4595	-0.023167
310	graph-id-function-wrapped-contains-target-29-zero	success	0.065625	0.339708	0.0365	0.311541	-0.028167
311	graph-id-function-wrapped-contains-target-29-targeted	success	0.090041	0.296209	0.0365	0.297625	0.001416
312	graph-id-function-wrapped-contains-target-29-dense	success	0.125375	0.490916	0.130208	0.468625	-0.022291
313	graph-id-function-wrapped-contains-target-30-zero	success	0.046583	0.318041	0.042542	0.313417	-0.004624
314	graph-id-function-wrapped-contains-target-30-targeted	success	0.04475	0.327125	0.03675	0.308416	-0.018709
315	graph-id-function-wrapped-contains-target-30-dense	success	0.136416	0.47125	0.110333	0.458125	-0.013125
316	graph-id-function-wrapped-contains-target-31-zero	success	0.051833	0.323583	0.04075	0.332417	0.008834
317	graph-id-function-wrapped-contains-target-31-targeted	success	0.040459	0.289292	0.14125	0.295417	0.006125
318	graph-id-function-wrapped-contains-target-31-dense	success	0.108208	0.454625	0.135333	0.452958	-0.001667
319	graph-id-function-wrapped-contains-target-32-zero	success	0.107334	0.309417	0.070375	0.3255	0.016083
320	graph-id-function-wrapped-contains-target-32-targeted	success	0.049667	0.314333	0.057542	0.328875	0.014542
321	graph-id-function-wrapped-contains-target-32-dense	success	0.111083	0.444083	0.113291	0.459167	0.015084
322	graph-id-function-wrapped-contains-target-33-zero	success	0.044708	0.305167	0.041334	0.31725	0.012083
323	graph-id-function-wrapped-contains-target-33-targeted	success	0.03925	0.298042	0.040709	0.313292	0.01525
324	graph-id-function-wrapped-contains-target-33-dense	success	0.103958	0.453583	0.112417	0.465333	0.01175
325	graph-id-function-wrapped-contains-target-34-zero	success	0.061375	0.30625	0.042291	0.303625	-0.002625
326	graph-id-function-wrapped-contains-target-34-targeted	success	0.041125	0.29675	0.058459	0.302334	0.005584
327	graph-id-function-wrapped-contains-target-34-dense	success	0.1065	0.461	0.13575	0.46225	0.00125
328	graph-id-function-wrapped-contains-target-35-zero	success	0.033709	0.313541	0.04725	0.309792	-0.003749
