index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
250	graph-id-function-wrapped-contains-target-09-zero	success	0.050292	0.309333	0.064875	0.311333	0.002
251	graph-id-function-wrapped-contains-target-09-targeted	success	0.039041	0.298583	0.047875	0.294542	-0.004041
252	graph-id-function-wrapped-contains-target-09-dense	success	0.126208	0.457708	0.103417	0.465667	0.007959
253	graph-id-function-wrapped-contains-target-10-zero	success	0.054375	0.310917	0.0735	0.309334	-0.001583
254	graph-id-function-wrapped-contains-target-10-targeted	success	0.052833	0.316	0.06775	0.309834	-0.006166
255	graph-id-function-wrapped-contains-target-10-dense	success	0.142833	0.455083	0.154875	0.474583	0.0195
256	graph-id-function-wrapped-contains-target-11-zero	success	0.069375	0.310208	0.137542	0.320875	0.010667
257	graph-id-function-wrapped-contains-target-11-targeted	success	0.062833	0.302375	0.072083	0.294208	-0.008167
258	graph-id-function-wrapped-contains-target-11-dense	success	0.174542	0.47325	0.117834	0.460583	-0.012667
259	graph-id-function-wrapped-contains-target-12-zero	success	0.059834	0.308625	0.070333	0.316417	0.007792
260	graph-id-function-wrapped-contains-target-12-targeted	success	0.055292	0.2925	0.049125	0.294125	0.001625
261	graph-id-function-wrapped-contains-target-12-dense	success	0.124708	0.461541	0.10925	0.478542	0.017001
262	graph-id-function-wrapped-contains-target-13-zero	success	0.050167	0.311125	0.043917	0.302	-0.009125
263	graph-id-function-wrapped-contains-target-13-targeted	success	0.041667	0.311875	0.031833	0.301541	-0.010334
264	graph-id-function-wrapped-contains-target-13-dense	success	0.116417	0.457625	0.110666	0.466375	0.00875
265	graph-id-function-wrapped-contains-target-14-zero	success	0.048	0.307042	0.047	0.312916	0.005874
266	graph-id-function-wrapped-contains-target-14-targeted	success	0.037791	0.295625	0.031375	0.292333	-0.003292
267	graph-id-function-wrapped-contains-target-14-dense	success	0.107542	0.478459	0.102417	0.482959	0.0045
268	graph-id-function-wrapped-contains-target-15-zero	success	0.040459	0.307208	0.044334	0.315584	0.008376
269	graph-id-function-wrapped-contains-target-15-targeted	success	0.061584	0.289458	0.029708	0.296208	0.00675
270	graph-id-function-wrapped-contains-target-15-dense	success	0.11275	0.461875	0.098542	0.466916	0.005041
271	graph-id-function-wrapped-contains-target-16-zero	success	0.051375	0.30175	0.044125	0.317334	0.015584
